week_start,vaccination_rate,One dose,Two doses,Unvaccinated
2020-11-16,,,,
2020-11-23,,,,
2020-11-30,,,,
2020-12-07,0.0,0.0,0.0,1.0
2020-12-14,0.0,0.0,0.0,2.0
2020-12-21,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,1.0
2021-01-04,,,,
2021-01-11,,,,
2021-01-18,,,,
2021-01-25,,,,
2021-02-01,0.0,0.0,0.0,1.0
2021-02-08,0.0,0.0,0.0,3.0
2021-02-15,0.037037037037037035,3.0,0.0,78.0
2021-02-22,0.01834862385321101,4.0,0.0,214.0
2021-03-01,0.02413793103448276,7.0,0.0,283.0
2021-03-08,0.028205128205128206,11.0,0.0,379.0
2021-03-15,0.05217391304347826,24.0,0.0,436.0
2021-03-22,0.04827586206896552,28.0,0.0,552.0
2021-03-29,0.05511811023622047,28.0,0.0,480.0
2021-04-05,0.12574850299401197,21.0,0.0,146.0
2021-04-12,0.15384615384615385,24.0,0.0,132.0
2021-04-19,0.10948905109489052,30.0,0.0,244.0
2021-04-26,0.11538461538461539,30.0,0.0,230.0
2021-05-03,0.059113300492610835,12.0,0.0,191.0
2021-05-10,0.09444444444444444,17.0,0.0,163.0
2021-05-17,0.16666666666666666,29.0,0.0,145.0
2021-05-24,0.15555555555555556,7.0,0.0,38.0
2021-05-31,0.1509433962264151,8.0,0.0,45.0
2021-06-07,0.3170731707317073,13.0,0.0,28.0
2021-06-14,0.22727272727272727,15.0,0.0,51.0
2021-06-21,0.19736842105263158,15.0,0.0,61.0
2021-06-28,0.4507042253521127,32.0,0.0,39.0
2021-07-05,0.7441860465116279,32.0,0.0,11.0
2021-07-12,0.8392857142857143,47.0,0.0,9.0
2021-07-19,0.9444444444444444,17.0,0.0,1.0
2021-07-26,0.926829268292683,76.0,0.0,6.0
2021-08-02,0.9387755102040817,46.0,0.0,3.0
2021-08-09,0.9285714285714286,52.0,0.0,4.0
2021-08-16,0.813953488372093,35.0,0.0,8.0
2021-08-23,0.9310344827586207,27.0,0.0,2.0
2021-08-30,0.85,17.0,0.0,3.0
2021-09-06,0.8421052631578947,16.0,0.0,3.0
2021-09-13,1.0,15.0,0.0,0.0
2021-09-20,0.9411764705882353,80.0,0.0,5.0
2021-09-27,0.9347826086956522,86.0,0.0,6.0
2021-10-04,0.9789473684210527,186.0,0.0,4.0
2021-10-11,0.9826086956521739,339.0,0.0,6.0
2021-10-18,0.9796747967479674,241.0,0.0,5.0
2021-10-25,0.953168044077135,346.0,0.0,17.0
2021-11-01,0.9553264604810997,278.0,0.0,13.0
2021-11-08,0.965082444228904,994.0,1.0,36.0
2021-11-15,0.9741007194244604,2021.0,10.0,54.0
2021-11-22,0.9812465526751241,1767.0,12.0,34.0
2021-11-29,0.9775036284470247,1316.0,31.0,31.0
2021-12-06,0.9771615008156607,580.0,19.0,14.0
2021-12-13,0.9647887323943662,381.0,30.0,15.0
2021-12-20,0.981081081081081,621.0,105.0,14.0
2021-12-27,0.9765342960288809,392.0,149.0,13.0
2022-01-03,0.97625,589.0,192.0,19.0
2022-01-10,0.9445727482678984,295.0,114.0,24.0
2022-01-17,0.960880195599022,265.0,128.0,16.0
2022-01-24,0.9492957746478873,188.0,149.0,18.0
2022-01-31,0.9161073825503355,150.0,123.0,25.0
2022-02-07,0.9352226720647774,124.0,107.0,16.0
2022-02-14,0.9723593287265548,410.0,575.0,28.0
2022-02-21,0.9573991031390134,354.0,500.0,38.0
2022-02-28,0.9675090252707581,296.0,508.0,27.0
2022-03-07,0.978448275862069,206.0,248.0,10.0
2022-03-14,0.9871382636655949,120.0,187.0,4.0
2022-03-21,0.974910394265233,127.0,145.0,7.0
2022-03-28,0.97,82.0,112.0,6.0
2022-04-04,0.9629629629629629,45.0,59.0,4.0
2022-04-11,0.9864864864864865,34.0,39.0,1.0
2022-04-18,0.9888888888888889,39.0,50.0,1.0
2022-04-25,0.9420289855072463,25.0,40.0,4.0
2022-05-02,0.9701492537313433,31.0,34.0,2.0
2022-05-09,0.9722222222222222,33.0,37.0,2.0
2022-05-16,0.9791666666666666,18.0,29.0,1.0
2022-05-23,0.9655172413793104,12.0,16.0,1.0
2022-05-30,1.0,7.0,9.0,0.0
